NumTP: 100, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.0204636334072, Test: 1.04684314512
NumTP: 200, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.100173106756, Test: 1.40809644256
NumTP: 300, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.012036440147, Test: 1.15561352456
NumTP: 400, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.0111101278749, Test: 1.41545103996
NumTP: 500, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.0476441181792, Test: 1.62893144237
NumTP: 700, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.0919265535075, Test: 1.0810643342
NumTP: 1000, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.154606757498, Test: 0.730228133939
NumTP: 2000, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.310229140932, Test: 0.61838107259
NumTP: 100, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.0553177744409, Test: 0.667240604508
NumTP: 200, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.0338759735809, Test: 0.635953416651
NumTP: 300, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.0320209831692, Test: 0.659221623803
NumTP: 400, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.0657987371356, Test: 0.780803970929
NumTP: 500, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.0966935580537, Test: 0.694290815741
NumTP: 700, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.152661526055, Test: 0.690848204334
NumTP: 1000, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.220246341192, Test: 0.539265660032
NumTP: 2000, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.336324282361, Test: 0.438688718132
NumTP: 100, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 0.186075398759, Test: 0.624102028117
NumTP: 200, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 0.357962700592, Test: 0.536878835347
NumTP: 300, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 0.48008341058, Test: 0.647586648519
NumTP: 400, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 0.460449716743, Test: 0.531545400706
NumTP: 500, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 0.5293808102, Test: 0.594697090393
NumTP: 700, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 0.492987862812, Test: 0.497613953107
NumTP: 1000, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 0.518095966405, Test: 0.552545487665
NumTP: 2000, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 0.490579662949, Test: 0.458843641523
NumTP: 100, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.0477348491628, Test: 0.875414475336
NumTP: 200, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.0577508052085, Test: 0.691789976384
NumTP: 300, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.00400215190909, Test: 0.712738893182
NumTP: 400, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.00607642972328, Test: 0.803776113639
NumTP: 500, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.00856507109625, Test: 0.704076175315
NumTP: 700, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.00901401903111, Test: 0.504862816995
NumTP: 1000, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.0324100228507, Test: 0.5548423145
NumTP: 2000, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.0851794763988, Test: 0.346496983717
NumTP: 100, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.0224521826996, Test: 0.601208459095
NumTP: 200, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.0336960320301, Test: 0.531583777803
NumTP: 300, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.02166101052, Test: 0.458209856031
