NumTP: 100, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.0287925450176, Test: 0.851433966194
NumTP: 200, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.0433893329859, Test: 0.412683772903
NumTP: 250, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.00978772220481, Test: 0.41567146846
NumTP: 300, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.00937980955175, Test: 0.368283270845
NumTP: 350, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.00771702599475, Test: 0.438472073674
NumTP: 400, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.00800760792697, Test: 0.487500504467
NumTP: 450, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.00841642882676, Test: 0.445894718554
NumTP: 500, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.00274435371722, Test: 0.373354660954
NumTP: 700, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.00335993334295, Test: 0.316545925334
NumTP: 1000, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.00469337520006, Test: 0.255164114048
NumTP: 1500, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.00716581530617, Test: 0.0707439088352
NumTP: 2000, Hwidth: 10, BatchSize: 5, L2reg: 0.001, Seed 20,Train: 0.0014557642787, Test: 0.00443055363984
NumTP: 100, Hwidth: 10, BatchSize: 5, L2reg: 0.01, Seed 20,Train: 0.0173428927109, Test: 0.543395419895
NumTP: 200, Hwidth: 10, BatchSize: 5, L2reg: 0.01, Seed 20,Train: 0.0246613751578, Test: 0.312654106272
NumTP: 250, Hwidth: 10, BatchSize: 5, L2reg: 0.01, Seed 20,Train: 0.0105461681717, Test: 0.282342422504
NumTP: 300, Hwidth: 10, BatchSize: 5, L2reg: 0.01, Seed 20,Train: 0.0142467058134, Test: 0.271556717892
NumTP: 350, Hwidth: 10, BatchSize: 5, L2reg: 0.01, Seed 20,Train: 0.0110680995481, Test: 0.268959769774
NumTP: 400, Hwidth: 10, BatchSize: 5, L2reg: 0.01, Seed 20,Train: 0.0103497703989, Test: 0.23638128781
NumTP: 450, Hwidth: 10, BatchSize: 5, L2reg: 0.01, Seed 20,Train: 0.0111452027949, Test: 0.225243354309
NumTP: 500, Hwidth: 10, BatchSize: 5, L2reg: 0.01, Seed 20,Train: 0.0123751788799, Test: 0.214936794518
NumTP: 700, Hwidth: 10, BatchSize: 5, L2reg: 0.01, Seed 20,Train: 0.0227336323477, Test: 0.180572295342
NumTP: 1000, Hwidth: 10, BatchSize: 5, L2reg: 0.01, Seed 20,Train: 0.0185635934254, Test: 0.0867459685045
NumTP: 1500, Hwidth: 10, BatchSize: 5, L2reg: 0.01, Seed 20,Train: 0.0320501463901, Test: 0.0808107293397
NumTP: 2000, Hwidth: 10, BatchSize: 5, L2reg: 0.01, Seed 20,Train: 0.0173430415273, Test: 0.0308021996591
NumTP: 100, Hwidth: 10, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 0.0767479642736, Test: 0.510386622707
NumTP: 200, Hwidth: 10, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 0.15881615612, Test: 0.329622517991
NumTP: 250, Hwidth: 10, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 0.164759715373, Test: 0.311230572185
NumTP: 300, Hwidth: 10, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 0.184403522644, Test: 0.31405086326
NumTP: 350, Hwidth: 10, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 0.20080113464, Test: 0.305914972982
NumTP: 400, Hwidth: 10, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 0.210570938856, Test: 0.293983003388
NumTP: 450, Hwidth: 10, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 0.212595769981, Test: 0.278320883384
NumTP: 500, Hwidth: 10, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 0.219646042096, Test: 0.265628153009
NumTP: 700, Hwidth: 10, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 0.23288045605, Test: 0.247722316346
NumTP: 1000, Hwidth: 10, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 0.228787203546, Test: 0.241228868156
NumTP: 1500, Hwidth: 10, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 0.228654615273, Test: 0.233904435608
NumTP: 2000, Hwidth: 10, BatchSize: 5, L2reg: 0.1, Seed 20,Train: 0.228307831972, Test: 0.223937117396
NumTP: 100, Hwidth: 10, BatchSize: 5, L2reg: 1, Seed 20,Train: 0.659770322299, Test: 0.731945313441
NumTP: 200, Hwidth: 10, BatchSize: 5, L2reg: 1, Seed 20,Train: 0.714453477275, Test: 0.735629379377
NumTP: 250, Hwidth: 10, BatchSize: 5, L2reg: 1, Seed 20,Train: 0.672048829876, Test: 0.737884955952
NumTP: 300, Hwidth: 10, BatchSize: 5, L2reg: 1, Seed 20,Train: 0.660655814478, Test: 0.731741973482
NumTP: 350, Hwidth: 10, BatchSize: 5, L2reg: 1, Seed 20,Train: 0.654971206635, Test: 0.73269964572
NumTP: 400, Hwidth: 10, BatchSize: 5, L2reg: 1, Seed 20,Train: 0.685591626607, Test: 0.73537303915
NumTP: 450, Hwidth: 10, BatchSize: 5, L2reg: 1, Seed 20,Train: 0.706348460592, Test: 0.73298751011
NumTP: 500, Hwidth: 10, BatchSize: 5, L2reg: 1, Seed 20,Train: 0.711538160371, Test: 0.734001480417
NumTP: 700, Hwidth: 10, BatchSize: 5, L2reg: 1, Seed 20,Train: 0.738357748068, Test: 0.730002982029
NumTP: 1000, Hwidth: 10, BatchSize: 5, L2reg: 1, Seed 20,Train: 0.746627316775, Test: 0.729678824583
NumTP: 1500, Hwidth: 10, BatchSize: 5, L2reg: 1, Seed 20,Train: 0.755713039346, Test: 0.731193091264
