NumTP: 100, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.0175374522764, Test: 0.315183936393
NumTP: 200, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.0065924359326, Test: 0.183730809571
NumTP: 300, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.0086177349316, Test: 0.126252211063
NumTP: 400, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.0102748775857, Test: 0.134597600163
NumTP: 500, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.0111249460571, Test: 0.100853883705
NumTP: 700, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.0169760790241, Test: 0.0887518085415
NumTP: 1000, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.0284095070919, Test: 0.0860425297157
NumTP: 2000, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.0395562371218, Test: 0.0693438907447
NumTP: 100, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.00811472407035, Test: 0.124463654934
NumTP: 200, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.0208153933604, Test: 0.0825797214075
NumTP: 300, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.0272919476534, Test: 0.0710228121588
NumTP: 400, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.0381414852673, Test: 0.0649584602415
NumTP: 500, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.0383977848886, Test: 0.0649925871375
NumTP: 700, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.0463668054219, Test: 0.0622639411544
NumTP: 1000, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.059347827396, Test: 0.0640706014033
NumTP: 2000, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.0634534714603, Test: 0.0643688157933
NumTP: 100, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 0.0674060946897, Test: 0.0647970101159
NumTP: 200, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 0.0757838566381, Test: 0.0641805588646
NumTP: 300, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 0.0738637642882, Test: 0.0638864843995
NumTP: 400, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 0.0708305276158, Test: 0.0639855077402
NumTP: 500, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 0.0693809844751, Test: 0.063948239755
NumTP: 700, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 0.0680787931267, Test: 0.0641695515769
NumTP: 1000, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 0.0707354025701, Test: 0.0644852732967
NumTP: 2000, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 0.0698452106671, Test: 0.0639226500115
NumTP: 100, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.00344375378245, Test: 0.252009808416
NumTP: 200, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.00198314687999, Test: 0.122282489669
NumTP: 300, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.00441604653864, Test: 0.164019013107
NumTP: 400, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.00379439045545, Test: 0.125661680261
NumTP: 500, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.00837236912482, Test: 0.11940090263
NumTP: 700, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.0151138809062, Test: 0.0954189901991
NumTP: 1000, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.026497765527, Test: 0.0867789741407
NumTP: 2000, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.0342390523833, Test: 0.070107870923
NumTP: 100, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.00652986670082, Test: 0.11987675735
NumTP: 200, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.0167262326418, Test: 0.0853711565373
NumTP: 300, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.0233103589744, Test: 0.0755906083183
NumTP: 400, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.0333136240386, Test: 0.0691328423713
NumTP: 500, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.0314448757909, Test: 0.067634933056
NumTP: 700, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.0405420579163, Test: 0.0656184112257
NumTP: 1000, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.0477032463553, Test: 0.0622675279405
NumTP: 2000, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.0589796665288, Test: 0.063299645859
NumTP: 100, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 0.0661447802618, Test: 0.0637474926629
NumTP: 200, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 0.0750581420795, Test: 0.0643407045775
