NumTP: 100, Hwidth: 2, BatchSize: 5, L2reg: 0.01, Seed 20,Train: 0.51783151546, Test: 8.05557584063
NumTP: 200, Hwidth: 2, BatchSize: 5, L2reg: 0.01, Seed 20,Train: 0.944352049989, Test: 3.38514421813
NumTP: 300, Hwidth: 2, BatchSize: 5, L2reg: 0.01, Seed 20,Train: 1.51900352915, Test: 3.55582961526
NumTP: 400, Hwidth: 2, BatchSize: 5, L2reg: 0.01, Seed 20,Train: 1.66188735178, Test: 2.64220072072
NumTP: 500, Hwidth: 2, BatchSize: 5, L2reg: 0.01, Seed 20,Train: 1.96882683127, Test: 2.990035346
NumTP: 1000, Hwidth: 2, BatchSize: 5, L2reg: 0.01, Seed 20,Train: 2.22081153639, Test: 2.69058957889
NumTP: 1500, Hwidth: 2, BatchSize: 5, L2reg: 0.01, Seed 20,Train: 2.35544132332, Test: 2.52822107838
NumTP: 2000, Hwidth: 2, BatchSize: 5, L2reg: 0.01, Seed 20,Train: 2.55342659472, Test: 2.50178979484
NumTP: 100, Hwidth: 5, BatchSize: 5, L2reg: 0.01, Seed 20,Train: 0.123238632506, Test: 5.18734312143
NumTP: 200, Hwidth: 5, BatchSize: 5, L2reg: 0.01, Seed 20,Train: 0.306213283855, Test: 5.47712266792
NumTP: 300, Hwidth: 5, BatchSize: 5, L2reg: 0.01, Seed 20,Train: 0.311494064326, Test: 3.4019070699
NumTP: 400, Hwidth: 5, BatchSize: 5, L2reg: 0.01, Seed 20,Train: 0.335909191538, Test: 2.87675110682
NumTP: 500, Hwidth: 5, BatchSize: 5, L2reg: 0.01, Seed 20,Train: 0.464776912573, Test: 2.30413064859
NumTP: 1000, Hwidth: 5, BatchSize: 5, L2reg: 0.01, Seed 20,Train: 0.960223801991, Test: 1.86695122285
NumTP: 1500, Hwidth: 5, BatchSize: 5, L2reg: 0.01, Seed 20,Train: 0.982803542984, Test: 1.62808202657
