NumTP: 100, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.171610576394, Test: 5.39532064123
NumTP: 200, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.0449736313176, Test: 5.19668885114
NumTP: 300, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.22057712989, Test: 6.41040661619
NumTP: 400, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.367144196939, Test: 5.90247440143
NumTP: 500, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.583524395727, Test: 4.21279155628
NumTP: 700, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.928198740936, Test: 3.18558523017
NumTP: 1000, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 1.23287766976, Test: 2.64325810149
NumTP: 2000, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 1.63690090459, Test: 2.25922727548
NumTP: 100, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.30720009022, Test: 4.3787047305
NumTP: 200, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.116643799587, Test: 3.94643002913
NumTP: 300, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.419229578798, Test: 3.45259969296
NumTP: 400, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.626053162202, Test: 3.94052665942
NumTP: 500, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.917755572298, Test: 3.02312213265
NumTP: 700, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.943212504314, Test: 2.79677294109
NumTP: 1000, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 1.40673009644, Test: 2.75048427935
NumTP: 2000, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 1.70193371522, Test: 2.09586887904
NumTP: 100, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 0.851134725674, Test: 3.21395079251
NumTP: 200, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 1.56618439327, Test: 2.57978140654
NumTP: 300, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 2.25870890548, Test: 2.45817113247
NumTP: 400, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 2.31123387908, Test: 2.5252219135
NumTP: 500, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 2.02021920224, Test: 2.23344710087
NumTP: 700, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 2.54307160738, Test: 2.51076039921
NumTP: 1000, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 2.56434691267, Test: 2.51418678131
NumTP: 2000, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 2.70464279067, Test: 2.48405079374
NumTP: 100, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.0394574938256, Test: 5.59506547752
NumTP: 200, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.00402447433613, Test: 4.62277278099
NumTP: 300, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.0921059151173, Test: 6.99327840061
NumTP: 400, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.133957384156, Test: 5.54185957032
NumTP: 500, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.468225658591, Test: 5.52842407887
NumTP: 700, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.436682457025, Test: 2.75558641266
NumTP: 1000, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.720049986393, Test: 2.52482399265
NumTP: 2000, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 1.1124417156, Test: 1.95129912565
NumTP: 100, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.118419966115, Test: 4.58130830394
NumTP: 200, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.0900886111464, Test: 3.89331331505
NumTP: 300, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.185334428216, Test: 4.12077818248
NumTP: 400, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.270672815873, Test: 3.99180396219
NumTP: 500, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.398626339681, Test: 2.89609892489
NumTP: 700, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.751488052169, Test: 2.7913620888
NumTP: 1000, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.836543440624, Test: 1.88810917721
NumTP: 2000, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 1.20435473602, Test: 1.59532097536
NumTP: 100, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 0.60095844237, Test: 3.23022549109
NumTP: 200, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 1.11718355256, Test: 2.55805970644
NumTP: 300, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 1.91930993559, Test: 2.46386064607
NumTP: 400, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 2.12436642416, Test: 2.41729746423
NumTP: 500, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 2.0869869256, Test: 2.33064362608
NumTP: 700, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 2.14665571572, Test: 2.22925616752
NumTP: 1000, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 2.47164863184, Test: 2.48880370329
NumTP: 2000, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 2.70197780824, Test: 2.48273885638
